   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
     1245    0.000    0.000    0.000    0.000 Entity.py:297(get_parent)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
      330    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        2    0.000    0.000    0.000    0.000 copy.py:217(_deepcopy_dict)
       65    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        7    0.000    0.000    0.000    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.000    0.000 pymol_qt_gui.py:1226(viewport)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 querying.py:843(get_color_indices)
        6    0.000    0.000    0.000    0.000 numeric.py:2706(extend_all)
        4    0.000    0.000    0.000    0.000 mimic_pmg_tk.py:51(addmenuitem)
      750    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exporting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:817(HTTPConnection)
        1    0.000    0.000    0.000    0.000 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        2    0.000    0.000    0.000    0.000 threading.py:882(__init__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.get_color}
        1    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
       90    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 Seq.py:2355(_UndefinedSequenceData)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       29    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 PDBExceptions.py:1(<module>)
      685    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 viewing.py:133(center)
       18    0.000    0.000    0.000    0.000 {built-in method setProperty}
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
        1    0.000    0.000    0.000    0.000 response.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
        1    0.000    0.000    0.000    0.000 inspect.py:3308(signature)
        6    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.set}
        6    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      561    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
        1    0.000    0.000    0.000    0.000 legacysupport.py:72(addPluginManagerMenuItem)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:3050(from_callable)
      102    0.000    0.000    0.000    0.000 typing.py:1293(<genexpr>)
      423    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        3    0.000    0.000    0.000    0.000 viewing.py:505(_showhide)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
       11    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
      313    0.000    0.000    0.000    0.000 Entity.py:47(__init__)
      438    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        5    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
      294    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 inspect.py:2470(_signature_from_callable)
        4    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 editing.py:989(unpick)
        1    0.000    0.000    0.000    0.000 Entity.py:35(Entity)
        1    0.000    0.000    0.000    0.000 properties_dialog.py:1(<module>)
        1    0.000    0.000    0.000    0.000 moving.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:40(reshape)
       10    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      314    0.000    0.000    0.000    0.000 Entity.py:75(__iter__)
      245    0.000    0.000    0.000    0.000 checking.py:13(is_string)
      169    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.wait_queue}
      180    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.reinitialize}
        2    0.000    0.000    0.000    0.000 __init__.py:302(legacyinit)
        1    0.000    0.000    0.000    0.000 save_shortcut.py:65(load_and_set)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Atom.py:31(Atom)
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.center}
       67    0.000    0.000    0.000    0.000 pymol_qt_gui.py:1066(<lambda>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        6    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:204(_divide_by_count)
        1    0.000    0.000    0.000    0.000 __init__.py:365(findPlugins)
       17    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 calendar.py:58(Month)
        1    0.000    0.000    0.000    0.000 utils.py:249(getMonospaceFont)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
        1    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
        1    0.000    0.000    0.000    0.000 save_shortcut.py:38(load_shortcuts_dict)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        4    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        2    0.000    0.000    0.000    0.000 parsing.py:329(prepare_call)
        4    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        7    0.000    0.000    0.000    0.000 <frozen os>:688(__setitem__)
      106    0.000    0.000    0.000    0.000 {built-in method title}
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.unpick}
       20    0.000    0.000    0.000    0.000 Atom.py:564(disordered_add)
        1    0.000    0.000    0.000    0.000 querying.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
      387    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        3    0.000    0.000    0.000    0.000 parsing.py:553(split)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 HSExposure.py:1(<module>)
       86    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 Seq.py:2463(_PartiallyDefinedSequenceData)
        2    0.000    0.000    0.000    0.000 __init__.py:100(addmenuitemqt)
        2    0.000    0.000    0.000    0.000 parsing.py:150(parse_arg)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      210    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 pymol_qt_gui.py:31(PyMOLQtGUI)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        1    0.000    0.000    0.000    0.000 toplevel:1(<module>)
      107    0.000    0.000    0.000    0.000 {built-in method setTearOffEnabled}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method screen}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
       78    0.000    0.000    0.000    0.000 {built-in method x}
        4    0.000    0.000    0.000    0.000 typing.py:1721(_get_protocol_attrs)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 commanding.py:291(splash)
        1    0.000    0.000    0.000    0.000 internal_coords.py:4119(Hedron)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       77    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 pymol_qt_gui.py:62(pymolviewport)
        1    0.000    0.000    0.000    0.000 mimic_tk.py:1(<module>)
       90    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 selecting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 qtwidgets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method pcatch._install}
        3    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.000    0.000 viewing.py:596(hide)
        1    0.000    0.000    0.000    0.000 fitting.py:1(<module>)
      3/2    0.000    0.000    0.000    0.000 threading.py:973(start)
       21    0.000    0.000    0.000    0.000 {function PyMOLApplication.event at 0x7a994e322160}
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ResidueDepth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 typing.py:731(_make_union)
        1    0.000    0.000    0.000    0.000 internal.py:278(file_read)
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
      153    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 wizarding.py:1(<module>)
      114    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      780    0.000    0.000    0.000    0.000 setting.py:40(<genexpr>)
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
        1    0.000    0.000    0.000    0.000 helping.py:1(<module>)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
        7    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
      313    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       83    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 __init__.py:222(exec_str)
      526    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      144    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 querying.py:856(get_renderer)
        1    0.000    0.000    0.000    0.000 calendar.py:75(Day)
        1    0.000    0.000    0.000    0.000 __init__.py:432(_sanity_check)
       15    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
        1    0.000    0.000    0.000    0.000 menu.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:509(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 tokenize.py:445(open)
        1    0.000    0.000    0.000    0.000 numerictypes.py:622(_register_types)
        1    0.000    0.000    0.000    0.000 externing.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
        1    0.000    0.000    0.000    0.000 experimenting.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen os>:200(makedirs)
        4    0.000    0.000    0.000    0.000 numeric.py:2205(identity)
        2    0.000    0.000    0.000    0.000 viewing.py:519(show)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        1    0.000    0.000    0.000    0.000 mimic_pmg_tk.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pkgutil.py:212(get_importer)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        2    0.000    0.000    0.000    0.000 querying.py:1148(get_names)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 compute_ca_angles.py:110(get_first_residue_idx)
      4/3    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.showhide}
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 keyboard.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method addWidget}
       17    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method pymol._cmd._reshape}
       10    0.000    0.000    0.000    0.000 Entity.py:543(set_parent)
      168    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        2    0.000    0.000    0.000    0.000 File.py:28(as_handle)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        2    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 PDBMLParser.py:104(PDBMLParser)
        1    0.000    0.000    0.000    0.000 movie.py:1(<module>)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       33    0.000    0.000    0.000    0.000 glob.py:223(has_magic)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
       19    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        5    0.000    0.000    0.000    0.000 {built-in method modifiers}
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       17    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
      145    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Seq.py:363(_SeqAbstractBaseClass)
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      334    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 Seq.py:37(_maketrans)
        1    0.000    0.000    0.000    0.000 {built-in method setMouseTracking}
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:416(abspath)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
      201    0.000    0.000    0.000    0.000 __init__.py:581(find_spec)
        2    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 querying.py:1452(get_names_of_type)
        1    0.000    0.000    0.000    0.000 __init__.py:13(__init_plugin__)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       18    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 mol.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1293(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:588(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:449(__init_plugin__)
       10    0.000    0.000    0.000    0.000 threading.py:311(_acquire_restore)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        1    0.000    0.000    0.000    0.000 {built-in method setTitleBarWidget}
       10    0.000    0.000    0.000    0.000 Atom.py:557(disordered_get_list)
        1    0.000    0.000    0.000    0.000 StructureAlignment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd._new}
        1    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
       83    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
        2    0.000    0.000    0.000    0.000 setting.py:423(get_setting_int)
        1    0.000    0.000    0.000    0.000 AbstractPropertyMap.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _twodim_base_impl.py:163(eye)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        1    0.000    0.000    0.000    0.000 locking.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:493(hugepage_setup)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      124    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      397    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
       90    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 process.py:399(__init__)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1080(poly1d)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
        7    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 dbapi2.py:57(register_adapters_and_converters)
        2    0.000    0.000    0.000    0.000 threading.py:616(set)
        1    0.000    0.000    0.000    0.000 _linalg.py:47(EighResult)
        3    0.000    0.000    0.000    0.000 parse_pdb_header.py:137(_nice_case)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       24    0.000    0.000    0.000    0.000 numerictypes.py:590(_scalar_type_key)
       81    0.000    0.000    0.000    0.000 CodonTable.py:57(__init__)
        6    0.000    0.000    0.000    0.000 setting.py:81(_validate_value)
       12    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        2    0.000    0.000    0.000    0.000 arrayprint.py:537(decorating_function)
        1    0.000    0.000    0.000    0.000 {built-in method clear}
        3    0.000    0.000    0.000    0.000 feedingback.py:10(_feedback)
       10    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 completing.py:69(get_auto_arg_list)
      108    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 StructureBuilder.py:41(StructureBuilder)
       31    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 viewing.py:852(get_viewport)
        1    0.000    0.000    0.000    0.000 mmcifio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linalg.py:43(EigResult)
        1    0.000    0.000    0.000    0.000 shortcut_manager.py:8(ShortcutIndex)
        4    0.000    0.000    0.000    0.000 typing.py:2112(runtime_checkable)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
      167    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      171    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:415(Purpose)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 mmd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 MMCIFParser.py:1(<module>)
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       38    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 PDBIO.py:116(PDBIO)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       12    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        1    0.000    0.000    0.000    0.000 request.py:904(HTTPPasswordMgrWithPriorAuth)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2496(any)
        1    0.000    0.000    0.000    0.000 save_shortcut.py:10(get_shortcut_save_filename)
        1    0.000    0.000    0.000    0.000 qcprot.py:1(<module>)
       10    0.000    0.000    0.000    0.000 inspect.py:2712(__init__)
       37    0.000    0.000    0.000    0.000 glob.py:108(<genexpr>)
       28    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        1    0.000    0.000    0.000    0.000 wizarding.py:130(refresh_wizard)
        1    0.000    0.000    0.000    0.000 utils.py:204(connectFontContextMenu)
       78    0.000    0.000    0.000    0.000 {built-in method y}
      131    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 StructureBuilder.py:82(init_model)
       29    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        2    0.000    0.000    0.000    0.000 threading.py:1043(_set_tstate_lock)
        3    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
       20    0.000    0.000    0.000    0.000 mixins.py:18(_binary_method)
        1    0.000    0.000    0.000    0.000 monitoring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 _linalg.py:59(SVDResult)
        1    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
        6    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.000    0.000 _linalg.py:51(QRResult)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
        1    0.000    0.000    0.000    0.000 threading.py:1270(setDaemon)
       33    0.000    0.000    0.000    0.000 checking.py:9(_raising)
        4    0.000    0.000    0.000    0.000 ssl.py:399(__new__)
        2    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
       19    0.000    0.000    0.000    0.000 enum.py:1692(_simple_enum)
        3    0.000    0.000    0.000    0.000 viewing.py:458(_rep_to_repmask)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.000    0.000 fromnumeric.py:89(_wrapreduction_any_all)
        1    0.000    0.000    0.000    0.000 Seq.py:66(SequenceDataAbstractBaseClass)
        1    0.000    0.000    0.000    0.000 keywords.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PDBList.py:54(PDBList)
        3    0.000    0.000    0.000    0.000 _gui.py:61(F_scene_menu)
        1    0.000    0.000    0.000    0.000 xyz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 cc1.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:277(__init__)
      121    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 _linalg.py:55(SlogdetResult)
        2    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.do}
        1    0.000    0.000    0.000    0.000 numeric.py:144(ones)
        1    0.000    0.000    0.000    0.000 pickle.py:1129(_Unpickler)
        1    0.000    0.000    0.000    0.000 computing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method setLayout}
        1    0.000    0.000    0.000    0.000 utils.py:6(UpdateLock)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:457(__exit__)
        8    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        1    0.000    0.000    0.000    0.000 NeighborSearch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
        8    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
       12    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
       18    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:528(_colortype)
       11    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       27    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.button}
        1    0.000    0.000    0.000    0.000 utils.py:85(setSetupUi)
        1    0.000    0.000    0.000    0.000 morphing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:352(detect_encoding)
       33    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 lst.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
        1    0.000    0.000    0.000    0.000 gui.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.000    0.000 threading.py:1106(_delete)
        8    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 gms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
        2    0.000    0.000    0.000    0.000 threading.py:394(notify)
        1    0.000    0.000    0.000    0.000 StructureBuilder.py:92(init_chain)
        1    0.000    0.000    0.000    0.000 Superimposer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 mol2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
       17    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:328(AxisConcatenator)
       11    0.000    0.000    0.000    0.000 glob.py:31(iglob)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        5    0.000    0.000    0.000    0.000 {built-in method text}
        3    0.000    0.000    0.000    0.000 getlimits.py:692(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:546(Formatter)
        8    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        1    0.000    0.000    0.000    0.000 functools.py:651(cache)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 pymol_qt_gui.py:171(ExtGuiFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 client.py:252(HTTPResponse)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      196    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       10    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
