   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 pymol_qt_gui.py:88(__init__)
      2/1    0.001    0.000    0.013    0.013 __init__.py:431(finish_launching)
     1387    0.002    0.000    0.013    0.000 StructureBuilder.py:189(init_atom)
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
     6125    0.011    0.000    0.012    0.000 <frozen codecs>:309(__init__)
     3062    0.010    0.000    0.012    0.000 contextlib.py:104(__init__)
      294    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     3058    0.012    0.000    0.012    0.000 {built-in method pymol._cmd.glViewport}
        1    0.000    0.000    0.012    0.012 _policybase.py:1(<module>)
     3061    0.004    0.000    0.012    0.000 <frozen abc>:117(__instancecheck__)
     3061    0.008    0.000    0.012    0.000 contextlib.py:567(__exit__)
        1    0.000    0.000    0.012    0.012 Chain.py:1(<module>)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
      750    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap>:304(acquire)
       58    0.000    0.000    0.011    0.000 typing.py:1261(__or__)
     3061    0.007    0.000    0.011    0.000 subprocess.py:1092(__exit__)
      226    0.002    0.000    0.011    0.000 typing.py:1242(__init__)
       90    0.000    0.000    0.011    0.000 _parser.py:969(parse)
      185    0.002    0.000    0.011    0.000 internal.py:592(_get_feedback)
   178/90    0.001    0.000    0.010    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.010    0.010 editor.py:1(<module>)
    27550    0.010    0.000    0.010    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.010    0.010 internal_coords.py:1(<module>)
  230/114    0.004    0.000    0.010    0.000 _parser.py:512(_parse)
    16834    0.010    0.000    0.010    0.000 {built-in method builtins.getattr}
    69598    0.010    0.000    0.010    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.010    0.010 setting.py:1(<module>)
        1    0.000    0.000    0.010    0.010 api.py:1(<module>)
        2    0.000    0.000    0.010    0.005 utils.py:1(<module>)
     3062    0.008    0.000    0.009    0.000 warnings.py:482(__enter__)
      265    0.001    0.000    0.009    0.000 overrides.py:142(decorator)
     6124    0.008    0.000    0.009    0.000 {built-in method builtins.next}
     1273    0.001    0.000    0.009    0.000 prepare_data.py:89(download_pdb_with_wget)
      402    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    20345    0.009    0.000    0.009    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 PDBList.py:1(<module>)
     3061    0.005    0.000    0.008    0.000 subprocess.py:1961(_handle_exitstatus)
     3061    0.008    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
     3062    0.005    0.000    0.008    0.000 contextlib.py:132(__enter__)
    18821    0.008    0.000    0.008    0.000 {method 'release' of '_thread.RLock' objects}
       90    0.000    0.000    0.008    0.000 _compiler.py:573(_code)
    27549    0.008    0.000    0.008    0.000 {method 'endswith' of 'bytes' objects}
        1    0.000    0.000    0.008    0.008 _array_like.py:1(<module>)
      348    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.008    0.008 PDBParser.py:114(_get_header)
      670    0.007    0.000    0.007    0.000 {built-in method addAction}
        1    0.001    0.001    0.007    0.007 parse_pdb_header.py:219(_parse_pdb_header_list)
      185    0.003    0.000    0.007    0.000 pymol_qt_gui.py:931(update_progress)
      222    0.000    0.000    0.007    0.000 setting.py:411(get_setting_tuple)
     1689    0.002    0.000    0.007    0.000 Entity.py:267(add)
      334    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.007    0.007 io.py:1(<module>)
     1308    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3061    0.006    0.000    0.007    0.000 subprocess.py:1120(__del__)
        2    0.003    0.001    0.007    0.003 prepare_data.py:53(prune_family)
      222    0.001    0.000    0.007    0.000 setting.py:406(get_setting_tuple_new)
        1    0.000    0.000    0.007    0.007 pymol_gl_widget.py:64(__init__)
    15295    0.006    0.000    0.006    0.000 einsumfunc.py:1049(_einsum_dispatcher)
      185    0.001    0.000    0.006    0.000 setting.py:438(get_setting_updates)
      588    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        1    0.000    0.000    0.006    0.006 __init__.py:52(start)
        1    0.002    0.002    0.006    0.006 {built-in method pymol._cmd._start}
        1    0.000    0.000    0.006    0.006 npyio.py:1(<module>)
     3061    0.006    0.000    0.006    0.000 contextlib.py:481(__init__)
        1    0.000    0.000    0.006    0.006 prepare_data.py:19(get_ref_chains)
   412/90    0.002    0.000    0.006    0.000 _compiler.py:37(_compile)
       22    0.003    0.000    0.006    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.006    0.006 utils.py:340(wrapper)
4203/4189    0.002    0.000    0.006    0.000 {built-in method builtins.hasattr}
       78    0.001    0.000    0.006    0.000 pymol_gl_widget.py:178(mouseMoveEvent)
        1    0.000    0.000    0.006    0.006 pymol_qt_gui.py:970(initializePlugins)
30562/30132    0.006    0.000    0.006    0.000 {built-in method builtins.len}
     3062    0.005    0.000    0.006    0.000 warnings.py:503(__exit__)
      750    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.006    0.003 _nanfunctions_impl.py:1937(nanstd)
    45/12    0.000    0.000    0.005    0.000 typing.py:1267(__getitem__)
        1    0.000    0.000    0.005    0.005 DSSP.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:278(adapt_to_hardware)
     2888    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      2/1    0.000    0.000    0.005    0.005 visualize_deviations.py:51(visualize_categories)
     3061    0.005    0.000    0.005    0.000 {method 'rfind' of 'bytes' objects}
        2    0.001    0.001    0.005    0.003 _nanfunctions_impl.py:1745(nanvar)
      294    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
     1387    0.003    0.000    0.005    0.000 Atom.py:43(__init__)
     1377    0.001    0.000    0.005    0.000 Residue.py:74(add)
     3081    0.002    0.000    0.005    0.000 <frozen os>:766(decode)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
      230    0.001    0.000    0.005    0.000 overrides.py:83(verify_matching_signatures)
       13    0.001    0.000    0.005    0.000 enum.py:919(_convert_)
      295    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
      607    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
     6118    0.005    0.000    0.005    0.000 {method 'conj' of 'numpy.ndarray' objects}
        4    0.001    0.000    0.005    0.001 _nanfunctions_impl.py:70(_replace_nan)
      234    0.001    0.000    0.005    0.000 typing.py:262(_collect_parameters)
     1566    0.002    0.000    0.005    0.000 typing.py:1188(__setattr__)
      304    0.004    0.000    0.004    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
       19    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
      310    0.000    0.000    0.004    0.000 StructureBuilder.py:117(init_residue)
      313    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     3671    0.004    0.000    0.004    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
     9177    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
    18653    0.004    0.000    0.004    0.000 threading.py:601(is_set)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
     3061    0.004    0.000    0.004    0.000 subprocess.py:268(_cleanup)
     6131    0.002    0.000    0.004    0.000 {built-in method builtins.any}
     3061    0.004    0.000    0.004    0.000 {built-in method sys.exc_info}
      750    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
      311    0.001    0.000    0.004    0.000 function_base.py:505(add_newdoc)
        1    0.000    0.000    0.004    0.004 Selection.py:1(<module>)
      548    0.002    0.000    0.004    0.000 typing.py:1609(__hash__)
1695/1601    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa43b40}
      2/1    0.000    0.000    0.004    0.004 visualize_deviations.py:40(prepare_structure_in_pymol)
        1    0.004    0.004    0.004    0.004 {built-in method menuBar}
